fips,trump_win
2013,1
2016,1
2020,0
2050,0
2060,1
2068,1
2070,0
2090,1
2100,1
2105,1
2110,0
2122,1
2130,1
2150,1
2164,1
2170,1
2180,1
2185,1
2188,0
2195,1
2198,1
2220,0
2230,1
2240,1
2261,1
2270,0
2275,1
2282,1
2290,1
15005,0
46113,0
51515,0
